"species","rep","treat","mean_area_Double","mean_area_Multi","mean_area_Quartet","mean_area_Single","sd_area_Double","sd_area_Multi","sd_area_Quartet","sd_area_Single"
"fio27","rep1","no3_16",592.42,795.04,488.16,218.42,188.4,0,41.14,95.58
"fio27","rep1","no3_16_l",408.53,563.65,0,162.39,100.57,0,0,72.54
"fio27","rep1","no3_16_m",449.82,777.86,419.79,185.46,107.06,0,0,90.47
"fio27","rep1","no3_160",530.2,1026.84,572.9,190.43,89.36,0,0,79.35
"fio27","rep1","no3_4",467.42,1005.39,0,187.35,98.49,0,0,75
"fio27","rep2","no3_16",454.7,950.4,606.32,183.52,133.57,252.84,1.86,76.44
"fio27","rep2","no3_16_l",292.04,1253.57,395.21,125.99,35.94,540.28,51.53,56.27
"fio27","rep2","no3_16_m",407.17,848.55,432.11,135.4,73.21,466.16,70.9,60.56
"fio27","rep2","no3_160",397.24,1652.54,838.89,149.34,92.53,398.18,614.82,66.88
"fio27","rep2","no3_4",377.07,1854.03,547.04,155.71,90.67,0,0,66.92
"k1016","rep1","no3_16",47.785,0,44.425,22.485,17.25,0,8.18,5.54
"k1016","rep1","no3_16_l",52.27,0,0,24.59,12.95,0,0,4.92
"k1016","rep1","no3_16_m",50.575,0,25.72,23.68,19.1,0,10.05,5.745
"k1016","rep1","no3_160",41.36,40.9,38.69,23.01,11.84,0,6.91,5.85
"k1016","rep1","no3_4",51.9,0,82.51,24.08,22.88,0,0,6.29
"k1016","rep2","no3_16",55.57,94.35,52.1,22.71,12.99,40,8.81,3.92
"k1016","rep2","no3_16_l",52.44,194.52,93.68,22.31,15.35,43.05,24.39,3.59
"k1016","rep2","no3_16_m",57.63,271.58,81.66,23.85,14.61,33.9,7.94,4.06
"k1016","rep2","no3_160",51.29,0,49.13,23.02,14.62,0,11.24,3.91
"k1016","rep2","no3_4",53.42,0,0,23.18,13.35,0,0,3.94
"k1773","rep1","no3_16",110.613333333333,369.54,259.123333333333,39.23,51.8733333333333,83.9833333333333,97.1266666666667,30.55
"k1773","rep1","no3_16_l",75.925,408.29,199.695,29.99,36.315,260.795,66.76,13.845
"k1773","rep1","no3_16_m",103.015,331.21,0,35.89,55.105,108.375,0,25.82
"k1773","rep1","no3_160",147.46,795.33,174.16,38.6,0,446.72,106.67,21.48
"k1773","rep1","no3_4",106.58,701.58,199.415,37.22,68.155,360.975,65.03,25.35
"k1773","rep2","no3_16",122.89,785.465,177.15,40.37,61.28,498.445,78.585,27.47
"k1773","rep2","no3_16_l",167.85,672.4,130.77,29.2,87.33,508.59,57.47,14.12
"k1773","rep2","no3_16_m",128.58,802.49,308.96,34.8,65.67,510.93,213.08,23.5
"k1773","rep2","no3_160",103.95,758,415.41,33.18,61.23,498.89,253.98,20.42
"k1773","rep2","no3_4",97.21,996.49,169.87,42.18,41.51,585.65,68.18,28.13
"kgh002","rep1","no3_16",110.64,228.22,142.49,42.65,64.03,75.61,58.95,28.56
"kgh002","rep1","no3_16_l",81.34,143.38,108.73,35.38,41,28.94,37.75,18.4
"kgh002","rep1","no3_16_m",85.73,257.45,152.36,33.64,30.23,88.64,90.55,17.93
"kgh002","rep1","no3_160",119.26,203.45,181.5,51.59,68.77,98.49,66.96,32.63
"kgh002","rep1","no3_4",121.1,639.92,153.97,45.16,69.27,0,44.28,24.63
