"species","rep","treat","sink","type","daily_max_growth"
"fio27","rep1","no3_16","n","s",33307
"fio27","rep1","no3_16_l","n","s",7498
"fio27","rep1","no3_16_m","n","s",9605
"fio27","rep1","no3_160","n","s",8331
"fio27","rep1","no3_4","n","s",7191
"fio27","rep2","no3_16","n","s",20761
"fio27","rep2","no3_16_l","n","s",8431
"fio27","rep2","no3_16_m","n","s",10006
"fio27","rep2","no3_160","n","s",7426
"fio27","rep2","no3_4","n","s",7146
"k1016","rep1","no3_16","n","s",32318
"k1016","rep1","no3_16_l","n","s",5949
"k1016","rep1","no3_16_m","n","s",14833
"k1016","rep1","no3_160","n","s",18248
"k1016","rep1","no3_4","n","s",19236
"k1016","rep2","no3_16","n","s",38820
"k1016","rep2","no3_16_l","n","s",5220
"k1016","rep2","no3_16_m","n","s",12573
"k1016","rep2","no3_160","n","s",17207
"k1016","rep2","no3_4","n","s",18965
"k1773","rep1","no3_16","n","m",31881
"k1773","rep1","no3_16_l","n","m",5026
"k1773","rep1","no3_16_m","n","m",15918
"k1773","rep1","no3_160","n","m",27162
"k1773","rep1","no3_4","n","m",15740
"k1773","rep2","no3_16","n","m",37207
"k1773","rep2","no3_16_l","n","m",5373
"k1773","rep2","no3_16_m","n","m",15789
"k1773","rep2","no3_160","n","m",24269
"k1773","rep2","no3_4","n","m",14171
"kgh002","rep1","no3_16","y","s",23226
"kgh002","rep1","no3_16_l","y","s",6220
"kgh002","rep1","no3_16_m","y","s",10697
"kgh002","rep1","no3_160","y","s",15574
"kgh002","rep1","no3_4","y","s",15129
"kgh002","rep2","no3_16","y","s",33208
"kgh002","rep2","no3_16_l","y","s",6631
"kgh002","rep2","no3_16_m","y","s",13015
"kgh002","rep2","no3_160","y","s",13128
"kgh002","rep2","no3_4","y","s",15299
"kgh285","rep1","no3_16","y","m",20949
"kgh285","rep1","no3_16_l","y","m",3113
"kgh285","rep1","no3_16_m","y","m",6604
"kgh285","rep1","no3_160","y","m",5752
"kgh285","rep1","no3_4","y","m",8967
"kgh285","rep2","no3_16","y","m",17794
"kgh285","rep2","no3_16_l","y","m",3919
"kgh285","rep2","no3_16_m","y","m",5513
"kgh285","rep2","no3_160","y","m",3837
"kgh285","rep2","no3_4","y","m",8404
"nbe02","rep1","no3_16","y","m",28738
"nbe02","rep1","no3_16_l","y","m",5377
"nbe02","rep1","no3_16_m","y","m",7730
"nbe02","rep1","no3_160","y","m",13778
"nbe02","rep1","no3_4","y","m",9889
"nbe02","rep2","no3_16","y","m",17030
"nbe02","rep2","no3_16_l","y","m",6030
"nbe02","rep2","no3_16_m","y","m",6634
"nbe02","rep2","no3_160","y","m",11978
"nbe02","rep2","no3_4","y","m",11112
"nbe04","rep1","no3_16","n","s",41613
"nbe04","rep1","no3_16_l","n","s",6580
"nbe04","rep1","no3_16_m","n","s",10228
"nbe04","rep1","no3_160","n","s",10322
"nbe04","rep1","no3_4","n","s",11524
"nbe04","rep2","no3_16","n","s",44571
"nbe04","rep2","no3_16_l","n","s",6601
"nbe04","rep2","no3_16_m","n","s",9414
"nbe04","rep2","no3_160","n","s",16350
"nbe04","rep2","no3_4","n","s",15021
"ors10","rep1","no3_16","n","s",14986
"ors10","rep1","no3_16_l","n","s",4955
"ors10","rep1","no3_16_m","n","s",12490
"ors10","rep1","no3_160","n","s",12781
"ors10","rep1","no3_4","n","s",12730
"ors10","rep2","no3_16","n","s",15575
"ors10","rep2","no3_16_l","n","s",4235
"ors10","rep2","no3_16_m","n","s",11460
"ors10","rep2","no3_160","n","s",15305
"ors10","rep2","no3_4","n","s",14708
"sag10.83","rep1","no3_16","n","s",35183
"sag10.83","rep1","no3_16_l","n","s",6284
"sag10.83","rep1","no3_16_m","n","s",8719
"sag10.83","rep1","no3_160","n","s",17550
"sag10.83","rep1","no3_4","n","s",15397
"sag10.83","rep2","no3_16","n","s",24654
"sag10.83","rep2","no3_16_l","n","s",4679
"sag10.83","rep2","no3_16_m","n","s",8273
