"species","rep","treat","ros_read"
"fio27","rep1","no3_16",189594
"fio27","rep1","no3_16_l",127641
"fio27","rep1","no3_16_m",204200
"fio27","rep1","no3_160",147394
"fio27","rep1","no3_4",154264
"fio27","rep2","no3_16",190487
"fio27","rep2","no3_16_l",153418
"fio27","rep2","no3_16_m",176092
"fio27","rep2","no3_160",112299
"fio27","rep2","no3_4",114403
"k1016","rep1","no3_16",1035
"k1016","rep1","no3_16_l",1567
"k1016","rep1","no3_16_m",1532
"k1016","rep1","no3_160",2220
"k1016","rep1","no3_4",1470
"k1016","rep2","no3_16",977
"k1016","rep2","no3_16_l",1058
"k1016","rep2","no3_16_m",976
"k1016","rep2","no3_160",1778
"k1016","rep2","no3_4",1412
"k1773","rep1","no3_16",2408
"k1773","rep1","no3_16_l",2374
"k1773","rep1","no3_16_m",2247
"k1773","rep1","no3_160",3133
"k1773","rep1","no3_4",4159
"k1773","rep2","no3_16",2377
"k1773","rep2","no3_16_l",1671
"k1773","rep2","no3_16_m",1829
"k1773","rep2","no3_160",2299
"k1773","rep2","no3_4",4262
"kgh002","rep1","no3_16",873
"kgh002","rep1","no3_16_l",348
"kgh002","rep1","no3_16_m",616
"kgh002","rep1","no3_160",1602
"kgh002","rep1","no3_4",1231
"kgh002","rep2","no3_16",1786
"kgh002","rep2","no3_16_l",334
"kgh002","rep2","no3_16_m",620
"kgh002","rep2","no3_160",1782
"kgh002","rep2","no3_4",1362
"kgh285","rep1","no3_16",4755
"kgh285","rep1","no3_16_l",1526
"kgh285","rep1","no3_16_m",1956
"kgh285","rep1","no3_160",3922
"kgh285","rep1","no3_4",3727
"kgh285","rep2","no3_16",3287
"kgh285","rep2","no3_16_l",1006
"kgh285","rep2","no3_16_m",1493
"kgh285","rep2","no3_160",3948
"kgh285","rep2","no3_4",2978
"nbe02","rep1","no3_16",2378
"nbe02","rep1","no3_16_l",410
"nbe02","rep1","no3_16_m",1175
"nbe02","rep1","no3_160",2886
"nbe02","rep1","no3_4",3249
"nbe02","rep2","no3_16",2301
